"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1216","Experts Weigh Pros, Cons of FaceID Authentication in iPhone X

DarkReading:  ","2017-09-13 22:38:54","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1217","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:38:47","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1218","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:38:43","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1219","RT @DaneCook: So today Apple announced the iPhone 8 &amp; iPhone X (ten not X). 
Maybe it's my OCD kicking in but where the f is the 9??","2017-09-13 22:38:14","TRUE","328","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1220","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:37:45","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1221","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:36:30","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1222","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:36:11","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1223","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:35:49","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1224","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:35:20","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1225","Whats the secret to Apples brand? Boiled down to one word, its sex.  ","2017-09-13 22:34:47","FALSE","0","1","0","Apple Iphone","Los Angeles","USA",FALSE
"1226","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:34:34","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1227","When apple says the new iPhone will unlock with facial recognition  ","2017-09-13 22:34:31","FALSE","0","3","0","Apple Iphone","Los Angeles","USA",FALSE
"1228","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:34:14","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1229","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:34:11","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1230","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:33:18","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1231","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:31:11","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1232","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:30:55","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1233","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:30:13","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1234","@anduraofficial it'll definitely be cheaper but I have an iPhone and MacBook Pro already so it would just streamlin  ","2017-09-13 22:29:55","FALSE","0","2","1","Apple Iphone","Los Angeles","USA",FALSE
"1235","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:28:57","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1236","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:28:39","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1237","There's a sneaky reason why the new iPhone X costs $999 instead of $1,000  CNBC  ","2017-09-13 22:28:00","FALSE","0","0","-1","Apple Iphone","Los Angeles","USA",TRUE
"1238","RT @andylassner: No amount of Apple iPhone announcements will make us forget about Ted Cruz liking porn.","2017-09-13 22:27:53","TRUE","703","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1239","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:27:40","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1240","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:27:29","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1241","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:26:12","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1242","RT @CNNNewsroomLA: Apple unveils iPhone X a decade after original  ","2017-09-13 22:25:55","TRUE","1","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1243","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:25:37","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1244","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:25:23","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1245","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:25:19","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1246","Arya is going to have a blast unlocking everyone's iPhoneX got apple iphone gameofthrones","2017-09-13 22:24:53","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1247","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:24:46","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1248","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:23:14","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1249","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:22:16","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1250","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:21:24","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1251","@yayabang iPhone x is dope. But that Apple Watch 3 is for sure the one to cop","2017-09-13 22:20:57","FALSE","0","0","-1","Apple Iphone","Los Angeles","USA",FALSE
"1252","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:20:54","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1253","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:19:42","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1254","U.S. wireless carriers dial back discounts on new iPhones  ","2017-09-13 22:19:34","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1255","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:19:31","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1256","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:19:21","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1257","When you go onto the Apple Store to get a new iPhone and they tell you the price @BrennenTaylor  ","2017-09-13 22:19:20","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1258","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:19:06","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1259","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:19:05","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1260","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:18:58","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1261","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:18:57","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1262","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:18:46","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1263","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:18:38","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1264","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:18:35","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1265","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:18:15","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1266","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:18:06","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1267","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:17:48","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1268","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:17:39","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1269","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:17:30","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1270","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:17:17","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1271","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:17:07","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1272","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:17:05","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1273","RT @samkalidi: Apple: The iPhone X starts at $999.
Lana Del Rey Fans:  ","2017-09-13 22:16:58","TRUE","1067","0","1","Apple Iphone","Los Angeles","USA",TRUE
"1274","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:16:42","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1275","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:16:40","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1276","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:16:33","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1277","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:16:25","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1278","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:16:21","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1279","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:16:12","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1280","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:16:08","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1281","RT @beintransit: New iPhone looks awesome! Apple's announcement has confirmed our fears that 7-8-9... iPhoneX AppleEvent","2017-09-13 22:16:06","TRUE","2","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1282","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:16:01","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1283","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:15:57","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1284","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:15:54","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1285","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:15:40","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1286","RT @afshineemrani: Israeli tech behind iPhone Xs new facial recognition feature?
Apple mum as TV report says the Israel team...  ","2017-09-13 22:15:40","TRUE","29","0","0","Apple Iphone","Los Angeles","USA",TRUE
"1287","Apple unveils iPhone X a decade after original  ","2017-09-13 22:15:03","FALSE","1","15","0","Apple Iphone","Los Angeles","USA",FALSE
"1288","iPhone X puts exclamation point on Apple's pricing strategy (from @AP)  ","2017-09-13 22:15:02","FALSE","0","0","0","Apple Iphone","Los Angeles","USA",FALSE
"1289","RT @NoChillPosts: me: whats the difference between iphone 7 and iphone 8

apple employee:  ","2017-09-13 22:14:42","TRUE","5301","0","0","Apple Iphone","Los Angeles","USA",TRUE
