"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1882","RT @jacksmillie: iPhone X USA price: $999
iPhone X UK price: 999
$999 = 752
Why are Apple charging Brits 247 more than the exchange valu","2017-09-14 06:22:09","TRUE","1312","0","0","Apple IPhone","London","UK",TRUE
"1883","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:22:08","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1884","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:22:06","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1885","RT @jacksmillie: iPhone X USA price: $999
iPhone X UK price: 999
$999 = 752
Why are Apple charging Brits 247 more than the exchange valu","2017-09-14 06:22:01","TRUE","1312","0","0","Apple IPhone","London","UK",TRUE
"1886","RT @grattonboy: Apple tests market with $1,000-plus iPhone  ","2017-09-14 06:21:58","TRUE","1","0","0","Apple IPhone","London","UK",FALSE
"1887","RT @Junior_AG1: Me: wow the new iPhone X looks amazing, how much?

Apple: 999

Me: 
 ","2017-09-14 06:21:55","TRUE","3590","0","2","Apple IPhone","London","UK",TRUE
"1888","iPhone X vs. Galaxy Note 8 and LG V30 comparison  ","2017-09-14 06:21:21","FALSE","0","0","0","Apple IPhone","London","UK",TRUE
"1889","RT @beta_mcpe1: Definitely purchasing the iPhone X! The best and most smart phone in the history of Apple, and love the design.   ","2017-09-14 06:21:15","TRUE","34","0","3","Apple IPhone","London","UK",TRUE
"1890","Conan addresses your pressing questions about the iPhone X's facial recognition system  ","2017-09-14 06:21:13","FALSE","0","0","0","Apple IPhone","London","UK",TRUE
"1891","iPhone X vs. Galaxy Note 8 and LG V30 comparison  ","2017-09-14 06:21:09","FALSE","0","0","0","Apple IPhone","London","UK",TRUE
